,SRX5495523,SRX5495524,SRX5495525,SRX5495526,SRX6762909,SRX6762910,SRX6762911,SRX6762912,SRX3467357,SRX3467358,SRX3467359,SRX3467360,SRX3565164,SRX3565165,SRX3565166,SRX3565167,SRX3565168,SRX3565169,SRX3565170,SRX3565171,SRX3565172,SRX3565173,SRX3565174,SRX3565176,SRX3565177,SRX3565178,SRX3565179,SRX3565180,SRX3565181,SRX3565182,SRX3565183,SRX3565184,SRX3565185,SRX3565186,SRX3565187,SRX3565188,SRX3565191,SRX3565192,SRX3565193,SRX3565194,SRX3565195,SRX3565197,SRX3565198,SRX3565199,SRX3565200,SRX3565201,SRX3565202,SRX3565203,SRX3565204,SRX3565205,SRX3565206,SRX3565208,SRX3565209,SRX3565210,SRX3565211,SRX4001511,SRX4001513,SRX4001514,SRX4001515,SRX4001516,SRX4001517,SRX4001518,SRX4001519,SRX4001520,SRX4001521,SRX4001522,SRX4001523,SRX4001524,SRX4001525,SRX4001526,SRX4001528,SRX3823521,SRX3823522,SRX3823523,SRX3823524,SRX3823525,SRX3823526,SRX3823527,SRX3823528,SRX3823529,SRX3823530,SRX3823531,SRX3823532,SRX3823533,SRX3823534,SRX3823536,SRX3823537,SRX3823538,SRX3823539,SRX5653264,SRX5653265,SRX5653266,SRX5653267,SRX5653268,SRX5653269
0,1.575631347583468e-30,-2.8861215774609362e-30,3.479862668156188e-30,-2.775804310246435e-30,5.011279910875087e-15,5.011279910875091e-15,-4.599428855987821e-31,-2.8383616448073594e-30,-2.0573818027530326e-15,-2.057381802753035e-15,3.328760324242797e-31,1.4027310379191946e-30,-1.4217242797141444e-15,-3.913191313175294e-30,1.3261581613554212e-30,-2.320988769079753e-31,1.224274370016973e-30,1.4272413384222667e-30,8.499502641180326e-31,-2.0510505455880233e-30,2.5185269595483914e-30,-1.2095811031797911e-30,-4.215393187742774e-30,7.896611754203155e-31,-7.465625103448501e-31,1.9185724701443377e-32,1.9618367940497937e-30,-1.4217242797141456e-15,7.539455954531858e-31,-7.860918014194491e-31,8.210069210591383e-31,-2.3701255632201853e-31,-1.54477647945524e-30,8.084223399681348e-31,5.996462944843073e-31,-5.189025637258111e-32,-3.6120199123461e-31,-1.206093606908357e-30,2.85093322567647e-30,1.6431444067033814e-30,8.450681385707566e-31,3.298741102412653e-31,-3.180048300819007e-31,-5.99146094721537e-31,-1.4276857022251437e-30,6.190525732999176e-31,-3.6321398105122207e-31,1.373998172522205e-31,-7.574376760825533e-31,2.623209339725887e-30,-1.421724279714145e-15,4.8507224701116353e-32,-7.900707858916085e-32,1.5879315186568072e-30,-1.4252822458525308e-30,-1.5608782527615008e-15,-1.5608782527615028e-15,-3.32064582781457e-30,-1.7637711991266473e-30,1.3058344846173628e-30,5.777261678058583e-31,1.709815434361409e-30,2.4211081781060083e-30,-1.858543521449057e-30,1.1287176313771146e-30,6.445361771887158e-31,-1.613170523497134e-30,-3.7220007721201857e-31,-1.3598735633619456e-31,6.844217300578907e-32,5.581568805134476e-31,1.0908979789655393e-15,1.0908979789655432e-15,1.0908979789655424e-15,4.512473346510042e-30,4.719309298550782e-30,-9.440965673960235e-31,-8.544182595193137e-31,8.532198284910052e-32,6.071153635034393e-32,-2.9734519371709166e-30,-6.49158878494481e-31,6.415415037793564e-31,-1.882311964232781e-30,-1.3303759521158076e-30,-5.05420148993373e-32,-1.0519288341451807e-30,2.4456478498901407e-30,4.260833910277925e-31,-1.0407964574895872e-30,-2.656668873467268e-30,1.3380027709100769e-30,-3.0780350984584478e-15,-3.0780350984584422e-15,-3.0780350984584422e-15
1,3.5594891796636124e-31,-6.207349247957837e-31,-5.711845991865889e-31,7.203286140799364e-31,-5.812069070725238e-16,-5.812069070725208e-16,7.750712468191992e-31,1.076365260691826e-31,-9.01121374382547e-16,-9.011213743825472e-16,-1.1717738663593486e-30,1.0197920316391767e-31,1.3673127470776676e-15,6.175599023572111e-31,-1.2667845888474027e-30,7.660390651734488e-32,-1.0010188822702313e-30,5.4172234392505e-31,-4.2534240336518465e-31,2.9368474963991515e-31,-7.165988265397833e-31,-8.246441833109078e-31,9.383128473963663e-31,-4.987515842970569e-31,2.6339178143623903e-31,7.572009338875609e-31,-2.928123258327992e-31,1.3673127470776691e-15,8.037212821623738e-31,5.930904151338281e-31,-1.5366362960492958e-31,-5.03535160047783e-31,-6.007268027785138e-32,8.821809511251971e-31,2.3982431781289108e-31,1.2825293424631328e-31,-3.4023250553351464e-31,2.29901388940504e-31,-8.063900647709698e-31,2.460289213833165e-31,-2.226412541284404e-31,1.0741294414896932e-31,-4.353454631374898e-31,-1.8289841037145613e-31,-5.585047827348458e-31,1.480643632665399e-31,-2.8952862355544816e-31,1.5729702649324687e-31,6.3226242574152195e-31,-4.518465976896901e-31,1.3673127470776693e-15,-7.635051307405462e-32,-1.821942858543318e-31,-2.047368781618341e-31,4.605429953535226e-31,3.358608361743047e-16,3.358608361743037e-16,-5.50839030947364e-31,4.925798531132896e-31,4.078788393235057e-31,1.1982327699288215e-30,8.061435527910688e-33,-1.2345197201642293e-32,-1.3048054838039e-30,-6.814155187072972e-31,-6.1831846487267255e-31,-3.4628849878465397e-32,6.622324186846206e-31,-1.6897517007397313e-31,2.776761039229019e-31,-1.4367049443784701e-31,-1.217677586365047e-17,-1.217677586365125e-17,-1.2176775863651274e-17,-8.784783961817493e-31,-2.0165123364893025e-31,3.1713430073489477e-31,8.779380465207764e-31,-9.000070147457547e-32,-8.25908524046512e-31,-2.257308713451312e-31,-4.058789382438469e-31,-3.3269539326198497e-31,1.80574043310937e-31,-9.506976555919206e-31,4.812584122619927e-31,4.727839766104387e-31,2.718275986776178e-31,-1.0631502625032337e-31,1.320152970583974e-30,1.227848859429424e-31,3.8165504129713814e-31,1.1539386092196472e-15,1.153938609219644e-15,1.153938609219643e-15
2,-1.224054523209441e-31,-3.0337248483987736e-31,1.3259642481117242e-31,-9.012119544567855e-31,1.3552783768795127e-15,1.35527837687951e-15,-1.7601458947743825e-31,-1.703645811332013e-31,1.2770266078066547e-15,1.2770266078066557e-15,1.4828801830285775e-30,-7.639226685903612e-32,-1.5649341367580809e-15,-1.031737448935757e-30,2.034904969149936e-30,-2.7243782888636177e-31,3.009006225997616e-31,-7.339768897971083e-32,5.052754751303746e-31,1.1782123694806503e-31,4.456440852956451e-31,1.1808282285194768e-30,-5.892083604069079e-31,4.472295115747817e-31,1.7386697703039941e-31,-8.714240656581435e-31,5.1204246813362105e-31,-1.5649341367580822e-15,-1.0471018752400316e-30,-1.1086593270742434e-30,-1.9906234235273394e-33,7.6703725579397195e-31,8.03450465768669e-31,-8.427707562340869e-31,-1.2799718427983877e-30,-2.649474666747373e-31,8.60669939668399e-31,-1.0529518606021343e-31,1.1940885017665358e-30,-4.875980093663981e-31,2.560929883605721e-31,-2.4440153933050725e-31,6.4755848426869365e-31,3.2003749303114904e-31,1.9409617845384796e-31,-8.338738113075006e-31,5.309195214563785e-31,2.940845962009211e-32,-5.027949497629141e-31,2.943025510091536e-31,-1.564934136758083e-15,5.151106216861084e-31,1.8205565394461533e-32,-2.3089022335497015e-31,-8.966621952842564e-31,9.948337381479226e-16,9.948337381479251e-16,5.490906597607013e-31,-5.14379621143882e-31,-8.673555921555857e-31,-2.106381687406747e-30,-2.7693577399748734e-32,-2.1401804703448964e-31,1.5895126772656416e-30,9.485332251828009e-31,1.008045213312514e-30,-7.049121208792053e-32,-1.2073749863974066e-30,9.371551662663763e-31,-5.490660716186862e-31,3.766519783260278e-31,-8.688207269183813e-16,-8.688207269183804e-16,-8.688207269183811e-16,1.6124413716025008e-30,-1.3277511736330513e-32,-8.81293970145961e-31,-1.5536213377354014e-30,1.12573421175831e-30,1.1971635318676494e-30,-1.7401991118353464e-31,8.338372182506611e-31,1.0317900405524701e-30,-3.1128367126771195e-31,8.068103784192064e-31,-9.288019901835151e-32,-6.863990191181734e-31,-8.02110380266648e-31,8.045660196634562e-31,-1.899277418914026e-30,8.392591285632914e-31,-1.3244975777900089e-30,-1.4726354722483615e-16,-1.472635472248343e-16,-1.4726354722483275e-16
3,1.2450525228476077e-31,1.0230539864584999e-32,-8.480254731125877e-32,-2.5046333740767125e-31,-7.167653723146953e-16,-7.167653723146964e-16,-8.953263125467382e-31,6.964268493057798e-31,-3.344599419968725e-16,-3.344599419968721e-16,-2.867142862823099e-31,-9.052575297024513e-32,-4.858648137391755e-16,5.8917525087627855e-31,-1.0541021822582538e-31,-5.177291425899157e-31,-7.275206460664253e-32,4.372731820146561e-33,4.286820905519314e-31,2.56609084874338e-31,5.455350533948589e-32,1.953380295603843e-31,1.4660368721932074e-31,-4.787970186245642e-33,1.2852453049559066e-32,3.546505311012083e-31,-8.17269857542622e-31,-4.85864813739175e-16,-1.1813202425393062e-31,4.481312691412299e-31,-5.953564157491771e-31,-2.152319564966687e-31,1.39336675666567e-31,-2.2622898152750523e-31,1.7675094574761943e-31,-6.343947969398206e-32,-1.9956700944899313e-31,4.679041548473175e-31,-6.4148058594478345e-31,-3.1141097925347803e-31,-2.513172246201747e-31,-2.806237786393108e-31,5.301562098178667e-32,-3.7604696380855227e-34,2.809336132289608e-31,-1.4785121033590718e-31,9.413346945684612e-32,-5.050259424813876e-31,1.192781179102883e-31,-2.841498624558629e-31,-4.858648137391757e-16,4.39428007459453e-31,-8.170133409403848e-31,3.436012030053582e-31,-1.051382380994778e-31,8.441608101426182e-16,8.441608101426195e-16,-4.9143948802679607e-32,3.474386700008239e-32,4.525142928853344e-31,3.4211164411515223e-31,-1.8743256296000243e-31,-4.631460784811206e-31,5.618165349748832e-31,-1.3259101335925446e-31,-5.762197726917478e-31,-3.4162841199236913e-32,4.5115463863410075e-32,1.1979283336774707e-31,-5.374636310986518e-32,-2.01983128679942e-31,-2.1674351390131127e-16,-2.1674351390131206e-16,-2.167435139013123e-16,-5.482335346592145e-31,-2.905291942201352e-31,5.2503863931240056e-31,-1.038944216420748e-31,-2.6161932327174005e-31,-4.3841322753983785e-32,1.9261298095179828e-32,7.491081562573487e-32,2.952417797244424e-31,-6.335264074596641e-32,-5.721810921932756e-32,3.2806472033696988e-31,3.532637072750667e-32,-3.7917197889677187e-31,-1.2502656583247525e-31,2.858606992854149e-31,2.8229926754356762e-33,2.035040303217609e-31,1.0128887756269105e-16,1.0128887756269043e-16,1.0128887756269088e-16
4,4.370044715620462e-31,-8.654512872494035e-31,3.640123150688539e-31,-1.9062084217567105e-31,1.1403504632578918e-15,1.1403504632578942e-15,6.954147843193432e-31,-7.853830493881695e-31,-3.86391338903379e-16,-3.863913389033796e-16,-7.883646345413889e-32,1.5450454633184451e-31,3.604087018742577e-16,-9.39719315596182e-31,6.14078326610966e-33,1.5306887370961942e-31,-1.7455820034567958e-31,4.394500515654627e-31,2.1174160734273688e-32,-1.7734070643657398e-31,1.1769562994405582e-31,-4.572110792189643e-31,-6.002674120133956e-31,-9.854353850994353e-32,1.5956713037796263e-31,1.8474511520040586e-32,6.700889488395036e-31,3.604087018742574e-16,2.478465028999036e-31,-2.896396850051295e-31,1.6507765591297455e-31,-7.463568039548626e-32,-2.3728876701452635e-31,3.705552115354405e-31,-2.2288063185522617e-32,6.946830514610502e-32,-8.609029169972513e-32,-4.734624086611386e-31,6.348240738389585e-31,4.459061449989186e-31,1.662902984923506e-31,1.789444435159678e-31,3.1926505668232736e-32,2.857078074305162e-32,-7.661323688763527e-31,2.313450501520556e-31,-1.139943910806402e-31,2.953443593640253e-31,1.8805155797632255e-31,3.5343180982320714e-31,3.604087018742577e-16,-6.339565420195608e-32,2.555424314498006e-31,1.8265436130628238e-31,-4.123772422723807e-31,1.4052747939868096e-16,1.4052747939868071e-16,-7.39278008741412e-31,-2.1832758795817397e-31,1.3808751697161774e-33,-2.0189361877990847e-32,3.6715768457127003e-31,6.967542684318603e-31,-6.524971228500647e-31,1.2711078292913094e-31,3.164767781553689e-31,-4.471705725555414e-31,-1.5872716626201386e-31,-7.773459773653894e-32,2.717861188020843e-32,2.705927543200175e-31,-1.4553357298450692e-16,-1.455335729845057e-16,-1.455335729845062e-16,8.926341590613992e-31,9.024306567079312e-31,-6.522698806083996e-31,1.2535517229009865e-31,2.7749948581798407e-31,-7.085590416248266e-32,-7.791781350786564e-31,-2.859517703453191e-32,8.648091796104617e-32,-2.6352183257955956e-31,-3.370040169582172e-31,1.1764560143403574e-31,-1.964345604539542e-31,3.97637944257916e-31,3.2910309678265286e-31,8.8360952314863e-32,-5.649811317739751e-31,2.8773611961707693e-31,-4.006104591558566e-16,-4.0061045915585674e-16,-4.006104591558569e-16
5,2.5613656759918563e-31,-4.436109996703784e-31,2.106813284764085e-31,-3.3776188992685587e-31,5.353922085524318e-16,5.353922085524326e-16,1.502071282226493e-31,-3.2289530242616176e-31,-2.344883353323821e-16,-2.3448833533238215e-16,8.730102188066879e-33,1.7692604807336347e-32,-4.13578272800717e-17,-4.689999196268972e-31,1.1474008409121234e-31,2.458107509940124e-32,4.3439054129560156e-32,1.6177366951817376e-31,1.3520093915030903e-31,-1.0006274474247656e-31,1.3027515036912823e-31,-1.3714106954966686e-31,-4.860839935748503e-31,-6.203830501661082e-33,4.935746354498331e-32,5.502957469276839e-32,2.6123912337441362e-31,-4.1357827280071926e-17,6.063334670295002e-33,-1.0974689302061123e-31,-1.525504908897632e-32,-5.624300393776037e-32,-1.336872815334679e-31,-2.586745956880902e-34,1.01589652194698e-31,4.218232097733666e-32,-1.1875511733056434e-31,-2.868154563533298e-31,2.8845682146977843e-31,1.8793261055752428e-31,1.593359019104521e-31,1.10266423652107e-32,7.641539403333669e-32,9.95797013159533e-32,-4.28109033442603e-31,1.2677427929911835e-31,-2.1541585168045526e-33,8.187434735606636e-32,1.501796651094486e-31,1.2904016825102103e-31,-4.1357827280071926e-17,3.86579728140907e-32,-9.433449646340686e-33,1.8916364804241254e-31,-3.305304218725434e-31,5.530289635345453e-16,5.530289635345459e-16,-4.0403508762901476e-31,-1.2729013354476745e-31,9.362069013846028e-32,-1.0988284082389148e-31,1.9710117561044135e-31,3.8485643909602924e-31,6.82960202017708e-32,1.8543595685807831e-31,1.4396906057704825e-31,-3.7003099177583858e-31,-2.1155073147241507e-31,-8.998079117627605e-32,1.389280815769586e-32,8.082475486252122e-32,1.1399631206268891e-17,1.1399631206269639e-17,1.1399631206269369e-17,5.046257381624405e-31,5.369305071940163e-31,-4.030941112810232e-31,1.4006189391992212e-31,-4.522218112483543e-34,1.7026503948750892e-32,-3.5641152359189348e-31,9.715591855555599e-32,1.2340099017434416e-31,-2.765656950536686e-31,-1.3296055441685674e-31,1.8070433795030825e-31,-1.985361147196083e-31,1.3819690683641584e-31,1.2676828094205334e-31,-2.169087858564019e-32,-4.081183862974361e-31,2.5216639904537674e-31,-5.130086017289737e-16,-5.130086017289739e-16,-5.130086017289738e-16
6,7.58195188272489e-31,-2.3057622370960428e-30,1.5435297450859125e-30,-1.509493310432378e-30,4.493970881507134e-15,4.493970881507134e-15,1.5104893469288692e-30,-2.3839361484633662e-30,-8.843700332562683e-17,-8.843700332562904e-17,1.0656575896806118e-30,1.1098500309091261e-30,-6.957392756487955e-16,-3.107833967340474e-30,2.0891754713061764e-30,3.685934568665588e-31,7.865865819893156e-32,1.2678419414961378e-30,-2.777752974025504e-31,-1.181697011331348e-30,1.0393765979870194e-30,-2.830691667643418e-31,-1.8630910336891517e-30,5.990147828982602e-31,-1.941448056714125e-31,-5.7292535134453825e-31,2.3140148630536803e-30,-6.957392756487971e-16,2.8852516455406387e-31,-1.598192616644466e-30,1.3076500551719864e-30,5.960396577587417e-31,5.664027263691258e-33,7.442078784192483e-31,-1.2712005052517865e-30,-1.8172900861465392e-31,9.080004887607347e-31,-8.907306178514494e-31,2.7822387807168414e-30,9.033901867795359e-31,1.016740732710466e-30,3.009207707347314e-31,-2.813762951572437e-31,-3.324137300625001e-31,-1.2431104678758243e-30,-6.3159089099269545e-31,1.564508483611161e-32,1.0044894455101193e-30,-6.936691835451923e-31,1.60590817505042e-30,-6.957392756487966e-16,-1.0498429187363394e-31,7.8659055145361815e-31,-5.426380761677698e-31,-7.239103660881178e-31,-6.170945501123492e-16,-6.170945501123508e-16,-1.5205480230825867e-30,-9.18941216956478e-31,-3.5981365455412223e-31,-1.2411332281506667e-30,1.1299931884283922e-30,1.3836706310335127e-30,-1.260902997092402e-30,1.2485061173090736e-30,1.536983659370722e-30,-7.5094666776727e-31,-7.994427632542584e-31,8.518947212743153e-31,-1.5756210116148526e-31,6.108551748311886e-31,4.440194740043362e-16,4.440194740043387e-16,4.4401947400433843e-16,4.088773616745242e-30,2.4888276487163593e-30,-1.5387466009048725e-30,-1.2558112406157218e-30,1.5582014921321197e-30,5.280526298837349e-31,-1.673098402222747e-30,-4.581583969994371e-32,7.28988644015908e-31,-1.2244244863231064e-30,-1.0075298994192757e-30,-3.459884222362479e-33,-7.979413032427456e-31,1.366108295683509e-30,9.94268767680646e-31,-2.0754766171202505e-30,3.831264594557855e-31,-1.1311546379083134e-30,-1.8333905130802704e-16,-1.8333905130802418e-16,-1.8333905130802305e-16
7,-9.151178644578426e-31,1.636655266740273e-30,-3.8709651138227932e-31,-3.0672360294311116e-31,-1.89475306456121e-15,-1.894753064561217e-15,-2.1206799803636733e-30,1.8940875612210667e-30,1.2145016478020618e-15,1.2145016478020631e-15,7.251834653296161e-31,-1.7015897384494522e-31,-1.8618634431130968e-15,1.7626162934658766e-30,1.0467738023553638e-30,-8.048342443126172e-31,3.6984988568130415e-31,-7.775943002362952e-31,3.143885620551551e-31,4.538980360680707e-31,9.252280790080582e-32,1.6193947535150824e-30,1.1933299798108144e-30,5.130234918181067e-31,-3.3793870480946823e-31,-2.69715166572698e-31,-1.587749949964188e-30,-1.861863443113096e-15,-9.369776919827493e-31,2.778394319930194e-31,-5.207057588461304e-31,4.628107587959992e-31,1.0517972346632653e-30,-1.0770990119608544e-30,-7.161290904238952e-31,-3.876469482480147e-31,6.805245069137876e-31,1.4208393665043469e-30,-1.0154225635117693e-30,-1.341352550538551e-30,-3.977201218404198e-31,-6.3141200702737365e-31,8.439226044877262e-32,-1.28175857471802e-31,2.035384563124235e-30,-1.1990050456823685e-30,5.174570246607356e-31,-8.732530064014866e-31,-8.046861119309478e-31,-5.8990293950333145e-31,-1.861863443113097e-15,6.40464030552036e-31,-1.0115439121142654e-30,-4.844457399989261e-31,5.768974132811936e-31,3.6257982326523826e-17,3.6257982326525385e-17,1.7308185640851665e-30,1.8214548813385498e-31,-1.383232693606616e-31,-6.427262253261054e-31,-8.575344326611874e-31,-1.9751715861075284e-30,2.005844027125252e-30,8.015506630637313e-32,-5.377835570896924e-31,1.0760672551288047e-30,-5.995321788308354e-32,9.270359635357932e-31,-3.6996117228728145e-31,-5.062483986787053e-31,-1.5902815582558374e-16,-1.5902815582558697e-16,-1.5902815582558606e-16,-1.2233326539649021e-30,-2.0616826089085315e-30,1.505781443627242e-30,-1.4108198663054034e-30,3.372309150141096e-32,6.745283596636675e-31,1.4899693519631764e-30,3.195193477587486e-31,5.193848928818117e-31,3.775441200864453e-31,8.499553455846374e-31,-2.0024563643287656e-31,1.9121911308100563e-31,-1.2618523814850179e-30,-3.5314408976696637e-31,-1.1262256373277837e-30,1.989995600490666e-30,-1.4562025496901257e-30,1.3611513094189736e-15,1.3611513094189752e-15,1.3611513094189763e-15
8,-7.1773202547371205e-31,1.54095965966356e-30,-3.0846464361283726e-31,3.4463360796842954e-31,-8.765727902286143e-16,-8.765727902286137e-16,4.571926576381972e-31,-2.733156295192505e-31,1.6889451709850056e-16,1.6889451709850152e-16,7.597905516432686e-32,-1.277580283601519e-31,5.298204815643624e-16,6.158032493542301e-31,-4.717448806615962e-31,1.2202199697227667e-30,1.2043292180302553e-30,-9.629797082101316e-31,-1.0531356501042413e-30,-8.744507921958873e-31,-1.4358340448153283e-31,-2.261302979619845e-31,-2.849791960554032e-31,2.2173588926773216e-31,-8.329175531515288e-31,3.631902749933176e-32,4.886623216740749e-31,5.298204815643627e-16,1.3673918148640166e-31,3.0890573681354283e-31,1.0449490292247915e-30,1.50187230120173e-32,-8.087206689718503e-31,-3.958831033872487e-31,1.3285241262534098e-30,3.2200181379746817e-31,-4.21905112020537e-31,-8.310693138082135e-31,-2.470822697782834e-31,4.353447016305644e-31,9.593367456685395e-31,1.946987560218349e-31,-5.645754169339941e-31,1.4130838391284758e-31,-5.082239846941021e-32,6.841216523516186e-31,-1.7721392127293874e-31,6.344701967065571e-31,2.0374884436275282e-32,-2.0932682645630784e-31,5.298204815643629e-16,-1.2191656135432062e-30,1.043472106295305e-30,-6.722638539665238e-31,1.086257982181479e-30,-3.775817368832797e-16,-3.7758173688328126e-16,5.383409768966699e-31,5.810732902174176e-31,1.4594073095691196e-31,1.7499798849083226e-31,1.7599762836865492e-31,6.883707918626047e-31,6.511480368398425e-31,3.4263430391248957e-31,2.5794459102956845e-31,-1.200717587952504e-31,3.0349821851574874e-31,-1.2992133587964378e-30,6.477485558724309e-31,-6.448123197254312e-31,2.6308125877566742e-15,2.6308125877566746e-15,2.6308125877566766e-15,-5.270613285719853e-31,1.4686323365235306e-31,-1.8622181729903294e-31,1.9371419329452533e-30,-1.601815930765535e-30,-4.692663395788291e-31,1.6598836064597947e-30,-2.242089494179352e-31,-1.3689324653907528e-30,-3.0434035493293728e-31,1.2099079523867402e-33,-1.946917861566003e-31,1.123225886951113e-31,1.0096660958177903e-30,-1.2063852915270287e-30,-7.497197116539637e-32,-3.8275314410306225e-31,6.02871010467159e-31,-1.5104122211186776e-15,-1.5104122211186744e-15,-1.5104122211186762e-15
9,1.2373610446660085e-30,-2.3453358565165555e-30,8.826613972324477e-31,-2.589682440420853e-31,2.863766314724288e-15,2.863766314724295e-15,2.2693791054398674e-30,-2.240013250230647e-30,-1.566804463459392e-15,-1.5668044634593944e-15,-7.7430473410521675e-31,6.282383769819317e-31,1.6358609467379899e-15,-2.251862034608898e-30,-6.482275888947529e-31,6.258795524181154e-31,-6.5334343913321196e-31,1.3606769740314331e-30,-3.594975787759278e-31,-6.806088911130273e-31,1.4919762350196427e-31,-1.7626589318213793e-30,-1.34513138953494e-30,-3.7565506392707016e-31,2.7700401051764507e-31,4.057432291955029e-31,1.803062724995041e-30,1.6358609467379893e-15,1.2182314811643e-30,-4.368693650987283e-31,6.8620740736241385e-31,-4.455243658491e-31,-9.166990429152167e-31,1.511300977825624e-30,2.9454581509397777e-31,2.702396356534189e-31,-4.3169988902191815e-31,-1.234022646348685e-30,1.4027669211329794e-30,1.482438684949417e-30,4.868016217011648e-31,6.150247002315525e-31,-3.535981784363446e-31,-1.6172690384837128e-31,-2.2092139160788453e-30,8.033362292068395e-31,-5.4166010634440314e-31,9.508356218612699e-31,6.106595636890162e-31,9.349382174591692e-31,1.635860946737991e-15,-4.611605410858355e-31,7.896509958422494e-31,3.1726139096292404e-31,-5.907670327062281e-31,-2.0992914199830963e-16,-2.0992914199831133e-16,-2.303839962853342e-30,-3.616035449098619e-31,3.3731002768463224e-31,7.758576753660345e-31,1.097701058351661e-30,2.010202924884992e-30,-2.6583458828690132e-30,4.44486475933295e-32,5.499987503717639e-31,-1.153474251440788e-30,1.0266734190796182e-31,-4.731101348190578e-31,3.3323577998113053e-31,5.51832342915936e-31,2.1152984454342978e-16,2.1152984454343286e-16,2.11529844543432e-16,2.054740033460738e-30,2.553915851837566e-30,-1.4225221150548557e-30,9.097231404646112e-31,4.346737101120247e-31,-7.156536335538454e-31,-2.0349500260285868e-30,-5.044829589764533e-31,-2.0622044074666116e-31,-6.9317410351817065e-31,-1.4808330771138227e-30,3.709690160390284e-31,-2.3747259060330307e-31,1.621731229212208e-30,5.715554822841592e-31,7.916358075916699e-31,-1.5461159654050007e-30,1.0506261474357198e-30,-7.286813180074391e-16,-7.286813180074412e-16,-7.286813180074415e-16
