Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed	se_sense	se_antisense
SRX2872534	24931308	8745307	14248211	584022	0	0	0	0	0	0	0	0	0	1228096	112981	12691	35.07761004757553	24931308.0	24347286.0	97.66	584022.0	2.34	SRX2872534_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24931308.0	0.0	20-94	51.0	11.809750971239376	90.40022898116699	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	24986943	6409453	24986943	2348772642	68120940	2261339490	3.7225038488846636			0.8288	0.0075	0.1636
SRX327494	17581950	1264440	8973267	3521788	0	0	0	0	0	0	0	0	0	3807917	12683	1855	7.191693754105773	17581950.0	14060162.0	79.97	3521788.0	20.03	SRX327494_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17581950.0	0.0	20-32	57.0	6.3360961771160085	31.4750879737458	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass	18980409	6302659	18980409	607373088	6201754	564065913	7.130242655729918			0.9561	0.0039	0.04
SRX3467357	8631553	1021515	7340092	166762	0	0	0	0	27416	0	0	0	0	59662	10734	5372	11.834660576144293	8631553.0	8464791.0	98.07	166762.0	1.93	SRX3467357_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8631553.0	0.0	20-124	57.0	5.616877613745345	119.91992646051064	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	8639675	2754803	8639675	1071319700	2862517	1048000049	2.1767219439724665	0.0009	0.0485	0.9506		
SRX3467358	10588211	1270306	8974005	206885	0	0	0	0	31168	0	0	0	0	84752	14098	6997	11.997361971724969	10588211.0	10381326.0	98.05	206885.0	1.95	SRX3467358_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10588211.0	0.0	20-124	57.0	5.488913120040015	120.06022471596005	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	10597695	4315158	10597695	1314114180	7128485	1282019987	2.4422682205590385	0.0013	0.0513	0.9474		
SRX3467359	11768789	1476959	9912496	236788	0	0	0	0	34415	0	0	0	0	85913	14742	7476	12.5497959050842	11768789.0	11532001.0	97.99	236788.0	2.01	SRX3467359_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11768789.0	0.0	20-124	57.0	5.021107000264249	119.80068662969488	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	11779481	3826358	11779481	1460655644	3656212	1427411357	2.275983880017103	0.0011	0.0528	0.9461		
SRX3467360	7611559	921255	6439080	154162	0	0	0	0	23943	0	0	0	0	57202	10330	5587	12.103368048516733	7611559.0	7457397.0	97.97	154162.0	2.03	SRX3467360_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7611559.0	0.0	20-124	57.0	6.3464124393678825	120.45069781368048	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	7618684	2984902	7618684	944716816	4641411	925248512	2.06075552697688	0.0011	0.0499	0.9490000000000001		
SRX3565164	23702941	4279683	18805440	190402	0	0	0	0	0	0	0	0	0	336952	81642	8822	18.055493619968928	23702941.0	23512539.0	99.2	190402.0	0.8	SRX3565164_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23702941.0	0.0	20-76	56.0	6.490166946003116	75.18763102013375	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	23707646	6299105	23707646	1801781096	4621903	1788495769	0.737344121852192			0.9208	0.0037	0.0755
SRX3565165	22852864	2976496	19369447	204646	0	0	0	0	0	0	0	0	0	243687	51971	6617	13.024608206656284	22852864.0	22648218.0	99.1	204646.0	0.9	SRX3565165_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22852864.0	0.0	20-75	57.0	6.428970772414008	73.73495532113611	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	22857910	5052723	22857910	1714343250	4757255	1702588357	0.6856790785625925			0.9477	0.0024	0.05
SRX3565166	19643399	3214249	15899222	186702	0	0	0	0	0	0	0	0	0	266499	68349	8378	16.362998073805866	19643399.0	19456697.0	99.05	186702.0	0.95	SRX3565166_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19643399.0	0.0	20-75	56.0	7.822085861286636	73.73887889768976	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	19647028	4485299	19647028	1473527100	3871329	1463461032	0.6831274429903597			0.9257	0.0032	0.0711
SRX3565167	17888763	3435156	14011320	149193	0	0	0	0	0	0	0	0	0	231773	55392	5929	19.202870539455407	17888763.0	17739570.0	99.17	149193.0	0.83	SRX3565167_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17888763.0	0.0	20-76	55.0	7.027525663539903	75.18655191530011	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	17892213	4784245	17892213	1359808188	3456225	1349841390	0.7329561689622655			0.9256	0.0026	0.0718
SRX3565168	21998274	2947223	18626381	178882	0	0	0	0	0	0	0	0	0	188748	50859	6181	13.397519278103365	21998274.0	21819392.0	99.19	178882.0	0.81	SRX3565168_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21998274.0	0.0	20-75	57.0	6.196226590400902	73.76126736124844	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	22001274	5000885	22001274	1650095550	3988067	1639413829	0.6473395434585592			0.9497	0.0017	0.0485
SRX3565169	19030504	2457767	16153727	176951	0	0	0	0	0	0	0	0	0	185719	50583	5757	12.914881287432008	19030504.0	18853553.0	99.07	176951.0	0.93	SRX3565169_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19030504.0	0.0	20-76	57.0	6.485750274708496	75.20377936390966	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	19034102	4442017	19034102	1446591752	4334419	1436137355	0.7226915946082347			0.9492	0.0019	0.049
SRX3565170	22354795	3506622	18238637	208596	0	0	0	0	0	0	0	0	0	310107	83959	6874	15.686218549532663	22354795.0	22146199.0	99.07	208596.0	0.93	SRX3565170_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22354795.0	0.0	20-76	56.0	6.463511975927192	75.1966391103117	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	22361770	5282591	22361770	1699494520	5163429	1686859898	0.7434341123971379			0.9339	0.0029	0.0632
SRX3565171	22544717	3376997	18638907	200990	0	0	0	0	0	0	0	0	0	258398	62043	7382	14.979105747923114	22544717.0	22343727.0	99.11	200990.0	0.89	SRX3565171_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22544717.0	0.0	20-76	57.0	6.241164084721233	75.19828658749631	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	22547614	5356114	22547614	1713618664	5037544	1701297004	0.7190432888515739			0.9411	0.0022	0.0568
SRX3565172	24473369	4237064	19633004	207812	0	0	0	0	0	0	0	0	0	319748	66871	8870	17.31295760710346	24473369.0	24265557.0	99.15	207812.0	0.85	SRX3565172_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24473369.0	0.0	20-75	56.0	6.526332079100866	73.75529703327726	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	24476329	5694596	24476329	1835724675	4614578	1823569008	0.6621726648632644			0.9318	0.0028	0.0655
SRX3565173	16032615	2831049	12785427	180362	0	0	0	0	0	0	0	0	0	173027	56331	6419	17.658061395474164	16032615.0	15852253.0	98.88	180362.0	1.12	SRX3565173_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16032615.0	0.0	20-76	56.0	7.798452033999093	75.34674636670313	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	16034885	4112609	16034885	1218651260	1217464	1211678676	0.5721558110069979			0.9263	0.0027	0.071
SRX3565174	22021994	4740921	16645385	173185	0	0	0	0	0	0	0	0	0	378886	75346	8271	21.528118661734265	22021994.0	21848809.0	99.21	173185.0	0.79	SRX3565174_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22021994.0	0.0	20-75	55.0	7.029080314028312	73.77900048469725	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	22028033	5478058	22028033	1652102475	3334942	1641335806	0.6516949864142053			0.9156	0.0043	0.08
SRX3565175	22357195	4288503	17496193	198401	0	0	0	0	0	0	0	0	0	284316	80278	9504	19.18175781890349	22357195.0	22158794.0	99.11	198401.0	0.89	SRX3565175_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22357195.0	0.0	20-76	55.0	6.704887900498887	75.20401016317119	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	22359558	5427890	22359558	1699326408	4740671	1687238850	0.7113146681587967			0.925	0.0029	0.07200000000000001
SRX3565176	15925083	2882632	12643653	125495	0	0	0	0	0	0	0	0	0	214193	53857	5253	18.10120550078138	15925083.0	15799588.0	99.21	125495.0	0.79	SRX3565176_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15925083.0	0.0	20-76	56.0	6.929199859441291	75.32970157832146	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	15927862	4289964	15927862	1210517512	1198747	1203266157	0.5990293348189084			0.9258	0.0035	0.0707
SRX3565177	17952862	2904538	14632512	140185	0	0	0	0	0	0	0	0	0	221376	48874	5377	16.17869061768536	17952862.0	17812677.0	99.22	140185.0	0.78	SRX3565177_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17952862.0	0.0	20-76	56.0	6.257750736971318	75.32252506591985	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	17955407	4886070	17955407	1364610932	1338168	1356463177	0.5970753134784356			0.9358	0.0024	0.0618
SRX3565178	17163502	2796633	13972993	141367	0	0	0	0	0	0	0	0	0	193041	53818	5650	16.294069823279656	17163502.0	17022135.0	99.18	141367.0	0.82	SRX3565178_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17163502.0	0.0	20-76	56.0	6.6614004415203425	75.35943457226854	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	17167672	4293902	17167672	1304743072	1310354	1297220698	0.5765406355803973			0.9362	0.0025	0.0613
SRX3565179	21629710	3683727	17375367	188864	0	0	0	0	0	0	0	0	0	298485	75308	7959	17.03086634078774	21629710.0	21440846.0	99.13	188864.0	0.87	SRX3565179_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21629710.0	0.0	20-75	56.0	7.0480038833128775	73.73702634015899	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	21634009	4844894	21634009	1622550675	4447489	1611419492	0.6860299139809609			0.9336	0.0028	0.0637
SRX3565180	13151400	2113803	10753800	103969	0	0	0	0	0	0	0	0	0	141567	34151	4110	16.07283635202336	13151400.0	13047431.0	99.21	103969.0	0.79	SRX3565180_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13151400.0	0.0	20-76	56.0	7.2235780845479916	75.31827470839606	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	13153625	3594964	13153625	999675500	995972	993564861	0.6112622546016183			0.9329999999999999	0.0025	0.0645
SRX3565181	20159792	4117431	15456289	241262	0	0	0	0	0	0	0	0	0	269872	66660	8278	20.423975604510204	20159792.0	19918530.0	98.8	241262.0	1.2	SRX3565181_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20159792.0	0.0	20-75	55.0	8.39848484166596	73.74162540962725	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	20163281	4835625	20163281	1512246075	3724557	1501866821	0.6863468962880265			0.9255	0.0028	0.0717
SRX3565182	23956521	2830245	20632354	199234	0	0	0	0	0	0	0	0	0	240222	48774	5692	11.81409020116068	23956521.0	23757287.0	99.17	199234.0	0.83	SRX3565182_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23956521.0	0.0	20-75	57.0	5.872063598191043	73.74783041327244	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	23960290	5382784	23960290	1797021750	4503392	1785114356	0.6626182459950749			0.9548	0.002	0.0432
SRX3565183	19660887	2278759	16906227	186452	0	0	0	0	0	0	0	0	0	233190	51344	4915	11.590316347375374	19660887.0	19474435.0	99.05	186452.0	0.95	SRX3565183_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19660887.0	0.0	20-76	57.0	6.276832622150165	75.20084856802241	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	19665945	4580677	19665945	1494611820	4549451	1483611090	0.7360258933319556			0.9504	0.0023	0.0473
SRX3565184	15562616	2448847	12707824	129830	0	0	0	0	0	0	0	0	0	213161	58128	4826	15.735445763103067	15562616.0	15432786.0	99.17	129830.0	0.83	SRX3565184_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15562616.0	0.0	20-76	56.0	7.006868383156589	75.35971355972544	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	15565473	3898467	15565473	1182975948	1173882	1176317122	0.5628876911029133			0.9337	0.0029	0.0634
SRX3565185	22092645	3256389	18359767	185892	0	0	0	0	0	0	0	0	0	222315	61124	7158	14.739697306501776	22092645.0	21906753.0	99.16	185892.0	0.84	SRX3565185_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22092645.0	0.0	20-75	57.0	6.649281335923117	73.73318432446634	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	22098379	4872060	22098379	1657378425	4582071	1645932425	0.6906087244378121			0.9449	0.0021	0.0529
SRX3565186	22724875	3925659	18229037	202519	0	0	0	0	0	0	0	0	0	283274	75770	8616	17.274722083179775	22724875.0	22522356.0	99.11	202519.0	0.89	SRX3565186_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22724875.0	0.0	20-75	56.0	7.1250161247474875	73.73377103284395	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	22729847	5178744	22729847	1704738525	4614378	1692905258	0.6941397068503511			0.9279999999999999	0.0028	0.0692
SRX3565187	24290701	5372568	18182879	212178	0	0	0	0	0	0	0	0	0	404423	107735	10918	22.117797259123975	24290701.0	24078523.0	99.13	212178.0	0.87	SRX3565187_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24290701.0	0.0	20-76	54.0	6.641253619765854	75.20743505920228	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	24293825	6293795	24293825	1846330700	4509960	1833306843	0.7053913472813944			0.9121	0.004	0.0839
SRX3565188	15970115	2510796	13065585	140885	0	0	0	0	0	0	0	0	0	190417	56697	5735	15.721840450115733	15970115.0	15829230.0	99.12	140885.0	0.88	SRX3565188_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15970115.0	0.0	20-76	56.0	7.112134151107183	75.35495254730476	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	15972963	3973892	15972963	1213945188	1285022	1207008966	0.5713785159795864			0.934	0.0027	0.0634
SRX3565189	15880073	2756898	12718127	131910	0	0	0	0	0	0	0	0	0	211481	55933	5724	17.36073883287564	15880073.0	15748163.0	99.17	131910.0	0.83	SRX3565189_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15880073.0	0.0	20-76	56.0	6.672749903180589	75.36312496800235	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	15881059	3901124	15881059	1206960484	1277560	1200276758	0.553765105701671			0.9287	0.0033	0.068
SRX3565190	22903112	3612973	18868371	171157	0	0	0	0	0	0	0	0	0	181084	61961	7566	15.775030921562099	22903112.0	22731955.0	99.25	171157.0	0.75	SRX3565190_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22903112.0	0.0	20-76	56.0	5.959437456580631	75.19705697636198	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	22906896	5939774	22906896	1740924096	4440242	1728346309	0.7224776214482358			0.9321	0.0017	0.0662
SRX3565191	19332255	2897224	15982351	183377	0	0	0	0	0	0	0	0	0	200105	62685	6513	14.986477262999065	19332255.0	19148878.0	99.05	183377.0	0.95	SRX3565191_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19332255.0	0.0	20-76	56.0	6.45034563647707	75.35789001334815	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	19335498	4821816	19335498	1469497848	1488795	1461163477	0.5671577546944458			0.9356	0.0022	0.0622
SRX3565192	18375546	3415966	14500665	168029	0	0	0	0	0	0	0	0	0	218003	64492	8391	18.58973877565325	18375546.0	18207517.0	99.09	168029.0	0.91	SRX3565192_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18375546.0	0.0	20-75	56.0	8.060164860202313	73.73666621933302	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	18379669	4160545	18379669	1378475175	3647868	1368977755	0.6889801261745611			0.9191	0.0031	0.0777
SRX3565193	20661464	3550459	16605545	201572	0	0	0	0	0	0	0	0	0	229929	66819	7140	17.183966247503086	20661464.0	20459892.0	99.02	201572.0	0.98	SRX3565193_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20661464.0	0.0	20-76	56.0	6.936776493237931	75.20322422457576	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	20666698	4983446	20666698	1570669048	4455874	1559239410	0.727692317777182			0.9337	0.0025	0.0638
SRX3565194	19660205	3811338	15326823	182474	0	0	0	0	0	0	0	0	0	247981	82348	9241	19.38605421459237	19660205.0	19477731.0	99.07	182474.0	0.93	SRX3565194_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19660205.0	0.0	20-75	55.0	7.886936080027826	73.73521374777121	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	19664166	4523296	19664166	1474812450	3977526	1464602274	0.6923033501649649			0.9224	0.0033	0.0743
SRX3565195	9409307	1852433	7308010	69765	0	0	0	0	0	0	0	0	0	141502	33355	4242	19.687241579002574	9409307.0	9339542.0	99.26	69765.0	0.74	SRX3565195_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9409307.0	0.0	20-76	55.0	9.132283418427033	75.34408261947452	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	9410458	2421162	9410458	715194808	679209	711110958	0.5710122548876222			0.9145	0.0035	0.0819
SRX3565196	21743918	2588155	18795673	168297	0	0	0	0	0	0	0	0	0	142554	43142	6097	11.902891649977711	21743918.0	21575621.0	99.23	168297.0	0.77	SRX3565196_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21743918.0	0.0	20-75	57.0	5.964318560622917	73.76108914685936	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	21746666	4925134	21746666	1630999950	3853835	1620483893	0.6447613318443082			0.9494	0.0014	0.0492
SRX3565197	23253320	4458092	18165727	204620	0	0	0	0	0	0	0	0	0	320413	93082	11386	19.171851589364444	23253320.0	23048700.0	99.12	204620.0	0.88	SRX3565197_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23253320.0	0.0	20-76	55.0	6.8617179322037085	75.20133924962113	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	23257742	5651087	23257742	1767588392	4945659	1754880435	0.7189432255560999			0.9101	0.0034	0.0865
SRX3565198	19021907	2885033	15672660	173118	0	0	0	0	0	0	0	0	0	227082	57938	6076	15.16689677854066	19021907.0	18848789.0	99.09	173118.0	0.91	SRX3565198_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19021907.0	0.0	20-76	57.0	6.725936481923473	75.20561687111602	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	19024639	4515614	19024639	1445872564	4229530	1435538331	0.7147402376465593			0.9404	0.0025	0.0571
SRX3565199	18752518	4937456	13317475	171174	0	0	0	0	0	0	0	0	0	254665	62451	9297	26.32956278191547	18752518.0	18581344.0	99.09	171174.0	0.91	SRX3565199_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18752518.0	0.0	20-76	54.0	7.425639395095682	75.30570475922221	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	18755762	5249361	18755762	1425437912	1324102	1416580854	0.6213569826814035			0.8959	0.0039	0.1002
