Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed	se_sense	se_antisense
ERX1518397	8365915	10283	28077	8322765	0	0	0	0	34	0	0	0	0	4369	385	2	0.12291542527027828	8365915.0	43150.0	0.52	8322765.0	99.48	ERX1518397_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8365915.0	0.0	20-68	53.0	34.93309624797466	64.00461348220726	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	8929982	3012231	8929982	607238776	3896544	545607801	10.149380677890044	0.0164	0.3196	0.664		
ERX1518398	4886827	3864	14010	4866322	0	0	0	0	8	0	0	0	0	2448	173	2	0.07906971128709897	4886827.0	20505.0	0.42	4866322.0	99.58	ERX1518398_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4886827.0	0.0	20-75	54.0	91.26389906019119	67.43260279113625	pass	fail	fail	pass	fail	fail	fail	warn	pass	warn	pass	5489885	2353976	5489885	373312180	2954939	301318297	19.28516851499461	0.0179	0.4421	0.54		
ERX1518399	6932975	8941	20802	6899499	0	0	0	0	6	0	0	0	0	3384	340	3	0.12896339594474232	6932975.0	33476.0	0.48	6899499.0	99.52	ERX1518399_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6932975.0	0.0	20-75	52.0	95.55233354601508	70.43516354811607	pass	fail	fail	pass	fail	fail	fail	warn	pass	pass	pass	7366354	3458881	7366354	552476550	9876077	515391384	6.712532142766965	0.0201	0.32	0.6599		
ERX3018360	11768789	1476962	9912496	236788	0	0	0	0	34413	0	0	0	0	85913	14742	7475	12.549821396237116	11768789.0	11532001.0	97.99	236788.0	2.01	ERX3018360_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11768789.0	0.0	20-124	57.0	5.021107000264249	119.80068662969488	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	11779481	4917204	11779481	1460655644	6687967	1422787367	2.592553361605331	0.0011	0.0528	0.9461		
ERX3018361	7611559	921256	6439080	154162	0	0	0	0	23942	0	0	0	0	57202	10330	5587	12.103381186429743	7611559.0	7457397.0	97.97	154162.0	2.03	ERX3018361_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7611559.0	0.0	20-124	58.0	7.488394151939308	120.22986526150557	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	7618684	2984902	7618684	944716816	4641411	925248512	2.06075552697688	0.0011	0.0499	0.9490000000000001		
ERX3018362	8631553	1021515	7340092	166762	0	0	0	0	27417	0	0	0	0	59662	10734	5371	11.834660576144293	8631553.0	8464791.0	98.07	166762.0	1.93	ERX3018362_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8631553.0	0.0	20-124	58.0	6.8692043433700825	119.72438227512475	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	8639675	2754803	8639675	1071319700	2862517	1048000049	2.1767219439724665	0.0009	0.0485	0.9506		
ERX3018363	10588211	1270307	8974005	206885	0	0	0	0	31168	0	0	0	0	84752	14098	6996	11.997371416191086	10588211.0	10381326.0	98.05	206885.0	1.95	ERX3018363_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10588211.0	0.0	20-124	57.0	5.488913120040015	120.06022471596005	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	10597695	4315158	10597695	1314114180	7128485	1282019987	2.4422682205590385	0.0013	0.0513	0.9474		
SRX2548838	12041139	2008923	1310971	603184	0	0	0	0	0	0	0	0	0	6002601	2096200	19260	16.683828664381334	12041139.0	11437955.0	94.99	603184.0	5.01	SRX2548838_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12041139.0	0.0	20-100	45.0	18.697300244366946	58.11236727688303	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	12178685	11496372	12178685	760659251	15202671	707663501	6.967081505986968			0.2476	0.6375	0.1149
SRX2548839	6103884	882781	135431	185338	0	0	0	0	0	0	0	0	0	3988397	902237	9700	14.46261101947547	6103884.0	5918546.0	96.96	185338.0	3.04	SRX2548839_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6103884.0	0.0	20-100	44.0	14.494482226295064	52.234046059853036	pass	fail		pass	fail	fail	fail	warn	fail	fail	pass	6615689	6490869	6615689	337487202	920596	327766437	2.880335889003577			0.2066	0.6943	0.0992
SRX2548840	6346266	860306	2948389	1623822	0	0	0	0	0	0	0	0	0	833287	75159	5303	13.556097396484796	6346266.0	4722444.0	74.41	1623822.0	25.59	SRX2548840_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6346266.0	0.0	20-100	55.0	63.72891257258448	39.457308596897775	pass	fail		pass	fail	fail	fail	warn	warn	warn	pass	10111800	9959439	10111800	319906842	1385320	303113159	5.249554181151273			0.7261	0.2165	0.0574
SRX2781382	4760383	811390	102362	176208	0	0	0	0	0	0	0	0	0	3034407	629764	6252	17.044636954631592	4760383.0	4584175.0	96.3	176208.0	3.7	SRX2781382_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4760383.0	0.0	20-100	44.0	15.505580582550778	53.24732400733302	pass	fail		pass	fail	fail	fail	warn	fail	fail	pass	5192923	5051767	5192923	280108073	781617	260898695	6.857845186061453			0.2004	0.7123	0.0872
SRX2781383	14190658	4390435	1103179	6894314	0	0	0	0	0	0	0	0	0	1365681	419069	17980	30.938910655164822	14190658.0	7296344.0	51.42	6894314.0	48.58	SRX2781383_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14190658.0	0.0	20-150	45.0	32.84369938642415	54.56956654159377	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass	16478669	4089183	16478669	831859017	13393344	811781987	2.4135135389173765			0.5675	0.3883	0.0442
SRX2872533	22423483	7980170	13021797	431969	0	0	0	0	0	0	0	0	0	895211	84424	9912	35.588449840731705	22423483.0	21991514.0	98.07	431969.0	1.93	SRX2872533_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22423483.0	0.0	20-94	51.0	11.019722483573632	90.52332423111969	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	22451001	5562005	22451001	2110394094	59606949	2036509544	3.5009835466304144			0.8348	0.0045	0.1607
